Lambda,%Self Evt,Evt/LP,Rel.Perf
1,0,1,-0.2912311266
2,0,1,-0.3115660184
5,0,1,-0.3007778738
10,0,1,-0.3168444413
1,0.25,1,-0.3065100768
2,0.25,1,-0.3128698225
5,0.25,1,-0.3064860427
10,0.25,1,-0.2625317259
1,0,2,-0.2780098057
2,0,2,-0.2447690217
5,0,2,-0.2493795187
10,0,2,-0.2175310985
1,0.25,2,-0.24857739
2,0.25,2,-0.2308640285
5,0.25,2,-0.1859428571
10,0.25,2,-0.2017959184
1,0,5,-0.1520428319
2,0,5,-0.0177792974
5,0,5,0.1015885681
10,0,5,0.0533338027
1,0.25,5,-0.1482293784
2,0.25,5,-0.0354322305
5,0.25,5,0.0958276359
10,0.25,5,0.0325443787
1,0,10,0.0562528891
2,0,10,0.3328652507
5,0,10,0.5938205525
10,0,10,0.5246134969
1,0.25,10,0.0724094418
2,0.25,10,0.3240126665
5,0.25,10,0.5280288438
10,0.25,10,0.4275409996
1,0,15,0.23893246
2,0,15,0.5948070401
5,0,15,0.9529916977
10,0,15,0.7394728983
1,0.25,15,0.3173873045
2,0.25,15,0.5828018118
5,0.25,15,0.8077245053
10,0.25,15,0.7815781578
1,0,20,0.4966973579
2,0,20,0.7031253013
5,0,20,1.0761919873
10,0,20,0.9278603593
1,0.25,20,0.422337791
2,0.25,20,0.810366551
5,0.25,20,1.0795930297
10,0.25,20,0.8548364734
