Lambda,Self Evt%,Evt./LP,Rel.Perf
1,0,1,-0.3224055126
2,0,1,-0.3094494892
4,0,1,-0.304039059
8,0,1,-0.3398019001
1,0.25,1,-0.3215512018
2,0.25,1,-0.2807331863
4,0.25,1,-0.2281739511
8,0.25,1,-0.373715797
1,0,2,-0.3007676204
2,0,2,-0.3593723919
4,0,2,-0.3038486209
8,0,2,-0.2323311917
1,0.25,2,-0.3373155306
2,0.25,2,-0.170797585
4,0.25,2,-0.1689232753
8,0.25,2,-0.1414735591
1,0,6,-0.202265523
2,0,6,0.1525677049
4,0,6,0.2014767932
8,0,6,0.1612926991
1,0.25,6,-0.1714353163
2,0.25,6,0.1222483643
4,0.25,6,0.2002080083
8,0.25,6,0.0733068116
1,0,10,0.0814516866
2,0,10,0.3506756878
4,0,10,0.3471871412
8,0,10,0.2665514368
1,0.25,10,-0.0540452653
2,0.25,10,0.3046318983
4,0.25,10,0.3272396572
8,0.25,10,0.3125850689
1,0,15,0.2442692834
2,0,15,0.3807470903
4,0,15,0.4319357647
8,0,15,0.4285626298
1,0.25,15,0.2443676243
2,0.25,15,0.3342572589
4,0.25,15,0.5003710444
8,0.25,15,0.3869109245
1,0,20,0.382963557
2,0,20,0.4166197313
4,0,20,0.5103393496
8,0,20,0.4060288117
1,0.25,20,0.3104009261
2,0.25,20,0.503976699
4,0.25,20,0.4910949661
8,0.25,20,0.4508003337
